ticker,month,first_close,last_close,monthly_return_%
ADANIGREEN,2023-10,2387.25,2294.65,-3.88
ADANIGREEN,2023-11,2217.3,2358.55,6.37
ADANIGREEN,2023-12,2362.7,2848.95,20.58
ADANIGREEN,2024-01,2917.2,3142.0,7.71
ADANIGREEN,2024-02,3153.5,3285.4,4.18
ADANIGREEN,2024-03,3318.75,3197.1,-3.67
ADANIGREEN,2024-04,3252.1,3054.7,-6.07
ADANIGREEN,2024-05,3039.6,3411.35,12.23
ADANIGREEN,2024-06,3645.25,3177.15,-12.84
ADANIGREEN,2024-07,3183.8,3169.4,-0.45
ADANIGREEN,2024-08,3217.25,3019.35,-6.15
ADANIGREEN,2024-09,3042.15,3135.85,3.08
ADANIGREEN,2024-10,3186.1,2947.25,-7.5
ADANIGREEN,2024-11,2949.5,2228.0,-24.46
ADANIPORTS,2023-10,831.4,784.75,-5.61
ADANIPORTS,2023-11,769.1,825.5,7.33
ADANIPORTS,2023-12,827.8,1024.35,23.74
ADANIPORTS,2024-01,1047.85,1207.65,15.25
ADANIPORTS,2024-02,1218.85,1320.5,8.34
ADANIPORTS,2024-03,1322.1,1341.85,1.49
ADANIPORTS,2024-04,1375.9,1324.9,-3.71
ADANIPORTS,2024-05,1338.8,1437.4,7.36
ADANIPORTS,2024-06,1583.95,1478.1,-6.68
ADANIPORTS,2024-07,1474.5,1569.9,6.47
ADANIPORTS,2024-08,1590.15,1481.9,-6.81
ADANIPORTS,2024-09,1494.5,1448.2,-3.1
ADANIPORTS,2024-10,1467.5,1375.95,-6.24
ADANIPORTS,2024-11,1394.4,1136.75,-18.48
AIRTEL,2023-10,925.3,914.4,-1.18
AIRTEL,2023-11,913.45,1014.7,11.08
AIRTEL,2023-12,1014.7,1032.2,1.72
AIRTEL,2024-01,1013.05,1170.7,15.56
AIRTEL,2024-02,1151.2,1123.35,-2.42
AIRTEL,2024-03,1128.7,1228.6,8.85
AIRTEL,2024-04,1217.35,1322.3,8.62
AIRTEL,2024-05,1304.05,1372.75,5.27
AIRTEL,2024-06,1391.1,1444.05,3.81
AIRTEL,2024-07,1454.0,1491.55,2.58
AIRTEL,2024-08,1505.5,1589.05,5.55
AIRTEL,2024-09,1571.35,1709.55,8.79
AIRTEL,2024-10,1698.7,1612.6,-5.07
AIRTEL,2024-11,1616.45,1569.3,-2.92
APOLLOHOSP,2023-10,5118.95,4819.9,-5.84
APOLLOHOSP,2023-11,4796.55,5528.95,15.27
APOLLOHOSP,2023-12,5591.15,5704.1,2.02
APOLLOHOSP,2024-01,5750.05,6352.95,10.49
APOLLOHOSP,2024-02,6287.95,6101.6,-2.96
APOLLOHOSP,2024-03,6085.4,6356.8,4.46
APOLLOHOSP,2024-04,6457.25,5947.1,-7.9
APOLLOHOSP,2024-05,5958.55,5839.2,-2.0
APOLLOHOSP,2024-06,5851.2,6185.7,5.72
APOLLOHOSP,2024-07,6140.5,6615.3,7.73
APOLLOHOSP,2024-08,6706.4,6927.5,3.3
APOLLOHOSP,2024-09,6880.05,7199.15,4.64
APOLLOHOSP,2024-10,7153.35,7022.7,-1.83
APOLLOHOSP,2024-11,7031.95,6935.1,-1.38
ASIANPAINT,2023-10,3166.85,2995.7,-5.4
ASIANPAINT,2023-11,2934.55,3119.9,6.32
ASIANPAINT,2023-12,3173.4,3402.4,7.22
ASIANPAINT,2024-01,3396.1,2957.85,-12.9
ASIANPAINT,2024-02,2929.35,2821.9,-3.67
ASIANPAINT,2024-03,2831.75,2846.75,0.53
ASIANPAINT,2024-04,2871.0,2875.9,0.17
ASIANPAINT,2024-05,2975.4,2881.2,-3.17
ASIANPAINT,2024-06,2866.45,2917.05,1.77
ASIANPAINT,2024-07,2927.8,3084.45,5.35
ASIANPAINT,2024-08,3099.35,3126.8,0.89
ASIANPAINT,2024-09,3150.95,3329.1,5.65
ASIANPAINT,2024-10,3277.35,2935.65,-10.43
ASIANPAINT,2024-11,2939.85,2472.2,-15.91
AXISBANK,2023-10,1041.05,981.85,-5.69
AXISBANK,2023-11,971.8,1074.25,10.54
AXISBANK,2023-12,1104.65,1102.3,-0.21
AXISBANK,2024-01,1097.7,1067.75,-2.73
AXISBANK,2024-02,1084.25,1075.1,-0.84
AXISBANK,2024-03,1099.25,1047.2,-4.74
AXISBANK,2024-04,1053.1,1165.9,10.71
AXISBANK,2024-05,1149.85,1162.15,1.07
AXISBANK,2024-06,1223.9,1265.25,3.38
AXISBANK,2024-07,1261.9,1166.1,-7.59
AXISBANK,2024-08,1172.3,1175.25,0.25
AXISBANK,2024-09,1188.8,1232.2,3.65
AXISBANK,2024-10,1226.65,1159.55,-5.47
AXISBANK,2024-11,1169.55,1142.4,-2.32
BAJAJ-AUTO,2023-10,5016.45,5314.05,5.93
BAJAJ-AUTO,2023-11,5344.35,6090.55,13.96
BAJAJ-AUTO,2023-12,6046.05,6797.25,12.42
BAJAJ-AUTO,2024-01,6701.1,7667.55,14.42
BAJAJ-AUTO,2024-02,7655.75,7909.35,3.31
BAJAJ-AUTO,2024-03,8040.05,9148.15,13.78
BAJAJ-AUTO,2024-04,9042.15,8903.65,-1.53
BAJAJ-AUTO,2024-05,9110.65,9084.75,-0.28
BAJAJ-AUTO,2024-06,9335.45,9501.65,1.78
BAJAJ-AUTO,2024-07,9532.4,9664.2,1.38
BAJAJ-AUTO,2024-08,9730.5,10891.55,11.93
BAJAJ-AUTO,2024-09,11126.1,12345.95,10.96
BAJAJ-AUTO,2024-10,12157.45,9836.3,-19.09
BAJAJ-AUTO,2024-11,9875.95,9481.65,-3.99
BAJAJFINSV,2023-10,1561.05,1569.55,0.54
BAJAJFINSV,2023-11,1572.85,1673.5,6.4
BAJAJFINSV,2023-12,1685.95,1685.8,-0.01
BAJAJFINSV,2024-01,1676.4,1627.3,-2.93
BAJAJFINSV,2024-02,1622.25,1593.8,-1.75
BAJAJFINSV,2024-03,1613.4,1643.85,1.89
BAJAJFINSV,2024-04,1646.0,1615.0,-1.88
BAJAJFINSV,2024-05,1615.45,1528.6,-5.38
BAJAJFINSV,2024-06,1575.8,1588.15,0.78
BAJAJFINSV,2024-07,1580.2,1651.65,4.52
BAJAJFINSV,2024-08,1634.8,1783.05,9.07
BAJAJFINSV,2024-09,1840.55,1973.4,7.22
BAJAJFINSV,2024-10,1975.25,1750.75,-11.37
BAJAJFINSV,2024-11,1754.7,1600.85,-8.77
BAJFINANCE,2023-10,7967.6,7492.65,-5.96
BAJFINANCE,2023-11,7471.9,7121.9,-4.68
BAJFINANCE,2023-12,7259.35,7327.75,0.94
BAJFINANCE,2024-01,7299.05,6862.9,-5.98
BAJFINANCE,2024-02,6743.3,6495.35,-3.68
BAJFINANCE,2024-03,6571.45,7245.25,10.25
BAJFINANCE,2024-04,7250.95,6923.55,-4.52
BAJFINANCE,2024-05,6882.7,6697.7,-2.69
BAJFINANCE,2024-06,6915.55,7115.55,2.89
BAJFINANCE,2024-07,7276.75,6806.95,-6.46
BAJFINANCE,2024-08,6771.65,7200.15,6.33
BAJFINANCE,2024-09,7440.05,7703.0,3.53
BAJFINANCE,2024-10,7703.0,6889.75,-10.56
BAJFINANCE,2024-11,6923.6,6683.95,-3.46
BEL,2023-10,139.2,133.25,-4.27
BEL,2023-11,132.4,145.9,10.2
BEL,2023-12,147.45,184.2,24.92
BEL,2024-01,184.95,185.9,0.51
BEL,2024-02,183.4,205.1,11.83
BEL,2024-03,205.6,201.5,-1.99
BEL,2024-04,211.1,233.75,10.73
BEL,2024-05,234.75,295.95,26.07
BEL,2024-06,318.65,305.9,-4.0
BEL,2024-07,307.65,316.05,2.73
BEL,2024-08,311.15,299.3,-3.81
BEL,2024-09,296.9,285.1,-3.97
BEL,2024-10,283.95,284.9,0.33
BEL,2024-11,288.65,280.85,-2.7
BPCL,2023-10,170.68,174.63,2.31
BPCL,2023-11,178.45,217.85,22.08
BPCL,2023-12,219.0,225.33,2.89
BPCL,2024-01,226.03,251.18,11.13
BPCL,2024-02,254.23,301.93,18.76
BPCL,2024-03,311.65,301.2,-3.35
BPCL,2024-04,300.35,303.68,1.11
BPCL,2024-05,317.33,313.9,-1.08
BPCL,2024-06,333.08,303.95,-8.75
BPCL,2024-07,304.55,350.05,14.94
BPCL,2024-08,349.1,357.65,2.45
BPCL,2024-09,358.45,369.95,3.21
BPCL,2024-10,368.25,310.75,-15.61
BPCL,2024-11,313.0,285.85,-8.67
